region,n_households,accuracy,weighted_f1,mean_pred_quintile,wealth_rank,pct_q1_poorest,pct_q5_wealthiest
HARAR,1431,0.4286,0.4203,4.188,1,2.1,50.9
ADDIS ABABA,1946,0.3821,0.3917,4.005,2,1.3,41.5
DIRE DAWA,1627,0.454,0.4562,3.773,3,7.1,36.2
TIGRAY,2223,0.3933,0.3933,3.573,4,9.4,34.4
GAMBELA,1288,0.376,0.3774,3.535,5,10.9,33.7
AFAR,1179,0.411,0.4114,3.441,6,12.3,30.1
OROMIA,4096,0.3793,0.3802,3.39,7,12.1,29.9
SOMALI,1909,0.3743,0.3714,3.207,8,19.4,27.2
BENISHANGUL GUMUZ,940,0.3191,0.3153,3.16,9,22.9,27.7
SNNP,4503,0.384,0.382,2.915,10,28.4,24.0
AMHARA,4207,0.3183,0.3183,2.865,11,22.7,17.2
