"individual_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq06","saq07","saq08","hh_s3q00","saq04","saq05","hh_s3q01","hh_s3q02","hh_s3q03","hh_s3q04","hh_s3q05","hh_s3q06","hh_s3q07","hh_s3q08","hh_s3q09","hh_s3q10","hh_s3q11a","hh_s3q11b","hh_s3q11c","hh_s3q11d","hh_s3q11e","hh_s3q11f","hh_s3q12","hh_s3q13","hh_s3q14","hh_s3q15","hh_s3q16","hh_s3q17","hh_s3q18","hh_s3q19","hh_s3q20","hh_s3q21_a","hh_s3q21_b","hh_s3q21_c","hh_s3q22","hh_s3q23","hh_s3q24"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,8,88,1,1,7,1,2,,1,4,2,,,,,,,,2,1,1,1,1,1,1,4,2,,,,,,
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,2,8,88,1,1,7,1,2,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160100203","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,3,8,88,1,1,7,1,2,,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160100204","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,4,8,88,1,1,3,1,2,,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160100205","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,5,8,88,1,1,2,1,2,,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160100206","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,6,8,88,1,1,2,1,2,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160100207","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,7,8,88,1,1,3,1,2,,1,2,2,,,,,,,,,,,,,,2,,2,,,,,,
"0101010160100208","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,8,8,88,1,1,3,1,2,,1,2,2,,,,,,,,,,,,,,2,,1,21,3,2000,10,85,1
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,8,88,2,,,2,,1,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160101702","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,2,8,88,2,,,2,,1,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160101703","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,3,8,88,2,,,2,,1,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160101704","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,4,8,88,2,,,2,,1,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160101705","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,5,8,88,2,,,2,,1,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160101706","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,6,8,88,2,,,2,,1,1,1,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160101707","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,7,8,88,2,,,2,,1,1,1,2,,,,,,,,1,1,1,1,1,1,2,,1,18,9,1999,12,90,1
"0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,1,1,16,1,34,1,8,88,1,5,60,1,2,,1,5,2,,,,,,,,2,2,1,1,1,1,1,4,2,,,,,,
"0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,1,1,16,1,49,1,8,88,2,,,2,,1,1,4,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160104902","01010101601049","01010101601",1,2236.13452148438,1,1,1,16,1,49,2,8,88,1,9,60,1,2,,1,5,2,,,,,,,,2,1,1,1,1,1,1,4,2,,,,,,
"0101010160104903","01010101601049","01010101601",1,2236.13452148438,1,1,1,16,1,49,3,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160104904","01010101601049","01010101601",1,2236.13452148438,1,1,1,16,1,49,4,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,1,1,16,1,64,1,8,88,1,7,7,1,2,,1,5,2,,,,,,,,2,1,1,1,1,1,1,4,2,,,,,,
"0101010160106402","01010101601064","01010101601",1,2236.13452148438,1,1,1,16,1,64,2,8,88,2,,,2,,1,1,4,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160106403","01010101601064","01010101601",1,2236.13452148438,1,1,1,16,1,64,3,8,88,2,,,2,,1,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160106404","01010101601064","01010101601",1,2236.13452148438,1,1,1,16,1,64,4,8,88,2,,,2,,1,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,1,1,16,1,80,1,8,88,2,,,2,,8,1,15,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160108002","01010101601080","01010101601",1,2236.13452148438,1,1,1,16,1,80,2,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160108003","01010101601080","01010101601",1,2236.13452148438,1,1,1,16,1,80,3,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160108004","01010101601080","01010101601",1,2236.13452148438,1,1,1,16,1,80,4,8,88,2,,,2,,8,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160108701","01010101601087","01010101601",1,1887.64611816406,1,1,1,16,1,87,1,8,88,2,,,2,,1,1,2,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160108702","01010101601087","01010101601",1,1887.64611816406,1,1,1,16,1,87,2,8,88,1,1,2,1,2,,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160108703","01010101601087","01010101601",1,1887.64611816406,1,1,1,16,1,87,3,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,4,2,,,,,,
"0101010160108704","01010101601087","01010101601",1,1887.64611816406,1,1,1,16,1,87,4,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160108705","01010101601087","01010101601",1,1887.64611816406,1,1,1,16,1,87,5,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,1,30,10,2001,10,84,1
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,1,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160110102","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,2,8,88,2,,,2,,1,1,3,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160110103","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,3,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,2,,,,,,
"0101010160110104","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,4,8,88,2,,,2,,1,2,,2,,,,,,,,1,1,1,1,1,1,2,,1,16,4,2003,10,74,1
