"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s9q01","hh_s9q02_a","hh_s9q02_b","hh_s9q03","hh_s9q04","hh_s9q05","hh_s9q06","hh_s9q07","hh_s9q08","hh_s9q09","hh_s9q10","hh_s9q11","hh_s9q12","hh_s9q13","hh_s9q14","hh_s9q15","hh_s9q16","hh_s9q17","hh_s9q18","hh_s9q19","hh_s9q20","hh_s9q21"
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,1,32,4,1,2,5,1,1,2,2,8,7,3,5,5,1,2,2,,10,2,2
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,1,29,,1,1,5,4,1,1,2,8,7,4,5,5,2,2,2,,8,1,1
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,1,12,3,1,2,5,1,1,1,2,8,7,4,5,5,2,2,2,,10,1,1
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,1,4,0,3,1,5,1,1,1,2,8,7,4,5,5,2,2,2,,10,1,1
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,1,11,5,1,2,5,1,5,1,2,8,7,3,5,5,1,1,1,2,8,1,1
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,1,2,,3,2,5,1,1,1,2,8,7,4,5,5,2,2,2,,2,2,2
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,1,5,,1,2,5,1,1,2,2,8,7,3,5,5,2,2,2,,1,2,2
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,1,7,,2,2,5,1,1,1,2,8,7,4,5,5,1,2,2,,10,1,1
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,1,21,,1,2,5,4,1,1,2,8,7,3,5,5,2,2,2,,10,2,1
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,1,7,,1,1,5,4,1,1,2,8,7,4,5,5,1,2,2,,10,,1
"01010101601146","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,146,1,40,0,1,2,5,4,1,2,2,8,7,4,5,5,2,2,2,,10,1,1
"01010101601162","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,162,1,3,2,2,1,5,1,1,2,2,8,7,4,5,5,2,1,2,,2,2,2
"01010201403001","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,1,1,17,,1,4,5,1,1,2,2,5,7,5,4,4,2,2,2,,10,1,1
"01010201403011","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,11,1,52,0,1,3,5,4,1,2,2,8,7,5,4,4,2,2,2,,8,1,1
"01010201403016","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,16,1,4,0,1,2,1,1,1,2,2,8,7,5,4,4,2,2,2,,10,1,1
"01010201403026","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,26,1,40,1,1,1,5,4,1,2,2,8,7,5,4,4,2,2,2,,10,1,1
"01010201403031","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,31,1,8,0,1,3,5,1,1,2,2,5,7,5,4,4,2,2,2,,10,1,1
"01010201403036","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,36,1,14,0,1,2,5,4,1,2,2,8,7,5,4,4,2,2,2,,10,1,1
"01010201403046","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,46,1,11,10,1,3,5,1,1,2,2,6,7,5,4,8,1,2,2,,10,1,1
"01010201403061","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,61,1,31,0,1,5,5,4,1,3,2,8,7,5,4,4,2,2,2,,10,1,1
"01010201403091","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,91,1,12,0,1,2,5,4,1,2,2,8,7,5,4,4,2,2,2,,10,1,1
"01010201403106","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,106,1,0,7,1,1,5,1,1,3,2,8,7,4,4,4,2,2,2,,10,1,1
"01010201403121","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,121,1,21,0,1,4,5,4,1,2,2,8,7,5,9,9,2,2,2,,10,1,1
"01010201403136","01010201403",1,2607.7529296875,1,1,2,8,88,14,3,136,1,50,0,1,1,5,4,1,2,2,8,7,5,9,9,2,2,2,,10,1,1
"01010300106004","01010300106",0,768.159851074219,1,1,3,1,1,1,6,4,2,0,1,3,1,7,1,5,3,2,6,7,1,5,5,2,2,2,,1,3,2
"01010300106016","01010300106",0,768.159851074219,1,1,3,1,1,1,6,16,2,0,2,3,1,7,1,5,3,2,2,7,1,5,5,2,2,2,,2,2,2
"01010300106028","01010300106",0,768.159851074219,1,1,3,1,1,1,6,28,2,0,5,1,2,7,1,5,3,2,1,5,1,2,2,2,2,2,,1,2,2
"01010300106040","01010300106",0,768.159851074219,1,1,3,1,1,1,6,40,2,0,2,3,1,5,1,1,1,2,2,7,1,5,5,2,2,2,,2,2,2
"01010300106052","01010300106",0,768.159851074219,1,1,3,1,1,1,6,52,1,40,6,1,2,4,1,5,3,2,5,7,3,5,5,2,2,2,,1,2,2
"01010300106064","01010300106",0,768.159851074219,1,1,3,1,1,1,6,64,1,8,10,3,2,5,1,1,2,2,1,7,1,5,5,2,2,2,,1,2,2
"01010300106076","01010300106",0,768.159851074219,1,1,3,1,1,1,6,76,1,48,7,1,1,4,1,5,3,2,5,7,1,5,5,2,2,2,,1,2,2
"01010300106088","01010300106",0,768.159851074219,1,1,3,1,1,1,6,88,1,5,,3,2,4,1,7,3,2,2,7,1,4,4,2,2,2,,1,3,2
"01010300106100","01010300106",0,768.159851074219,1,1,3,1,1,1,6,100,1,5,0,3,1,6,1,5,3,2,1,7,1,5,5,2,2,2,,1,3,2
"01010300106112","01010300106",0,768.159851074219,1,1,3,1,1,1,6,112,1,40,5,1,4,6,1,1,3,2,5,7,3,1,1,2,2,2,,1,3,2
"01010300106124","01010300106",0,768.159851074219,1,1,3,1,1,1,6,124,2,0,7,3,1,5,1,1,3,2,6,7,1,10,4,2,1,2,,1,4,1
"01010300106136","01010300106",0,768.159851074219,1,1,3,1,1,1,6,136,1,20,4,1,3,6,1,5,3,2,2,7,3,2,2,2,2,1,2,1,4,2
"01010301804004","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,4,1,3,8,1,1,5,4,1,2,2,8,7,5,3,3,2,2,2,,10,1,1
"01010301804019","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,19,1,50,8,1,1,5,4,1,2,2,8,7,5,3,3,2,2,2,,8,1,1
"01010301804034","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,34,1,55,3,1,1,5,4,1,2,2,8,7,5,3,7,2,2,2,,10,1,1
"01010301804049","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,49,1,20,5,1,1,5,4,1,2,2,2,7,5,3,3,2,2,2,,10,1,1
"01010301804051","01010301804",1,764.945922851563,1,1,3,8,88,18,4,51,2,0,5,3,1,1,1,1,2,2,6,7,3,3,3,2,2,2,,8,1,2
"01010301804054","01010301804",1,764.945922851563,1,1,3,8,88,18,4,54,1,1,11,2,1,5,1,1,2,2,4,2,3,3,3,2,2,2,,8,1,1
