"household_id","household_id2","rural","pw_w3","ea_id","ea_id2","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s7q01","hh_s7q02_a","hh_s7q02_b","hh_s7q02_c","hh_s7q02_d","hh_s7q02_e","hh_s7q02_f","hh_s7q02_g","hh_s7q02_h","hh_s7q03_a","hh_s7q03_b","hh_s7q04","hh_s7q05_a","hh_s7q05_b","hh_s7q05_c","hh_s7q06","hh_s7q07_a","hh_s7q07_b","hh_s7q07_c","hh_s7q07_d","hh_s7q07_e","hh_s7q07_f","hh_s7q07_g","hh_s7q07_h","hh_s7q07_i","hh_s7q07_j","hh_s7q07_k","hh_s7q07_l","hh_s7q08_a","hh_s7q08_b","hh_s7q08_c"
"01010101601002","010101088801601002",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,2,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010101601017","010101088801601017",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,17,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01010101601034","010101088801601034",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,34,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010101601049","010101088801601049",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,49,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010101601064","010101088801601064",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,64,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010101601080","010101088801601080",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,80,1,2,3,2,2,1,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010101601087","010101088801601087",1,2445.65063476563,"01010101601","010101088801601",1,1,1,8,88,16,1,87,2,0,0,0,0,0,0,0,0,4,3,1,,,,2,,,,,,,,,,,,,,,
"01010101601101","010101088801601101",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,101,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010101601116","010101088801601116",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,116,2,0,0,0,0,0,0,0,0,5,3,1,,,,1,,,,,,,"X","X",,,,,3,6,
"01010101601131","010101088801601131",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,131,2,0,0,0,0,0,0,0,0,3,,2,2,1,,2,,,,,,,,,,,,,,,
"01010101601146","010101088801601146",1,2897.15502929688,"01010101601","010101088801601",1,1,1,8,88,16,1,146,1,6,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010201403001","010102088801403001",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,1,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01010201403011","010102088801403011",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,11,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010201403016","010102088801403016",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,16,2,0,0,0,0,0,0,0,0,3,5,1,,,,2,,,,,,,,,,,,,,,
"01010201403026","010102088801403026",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,26,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010201403031","010102088801403031",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,31,2,0,0,0,0,0,0,0,0,3,6,1,,,,2,,,,,,,,,,,,,,,
"01010201403036","010102088801403036",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,36,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010201403046","010102088801403046",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,46,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010201403061","010102088801403061",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,61,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010201403091","010102088801403091",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,91,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01010201403106","010102088801403106",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,106,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01010201403121","010102088801403121",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,121,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010201403136","010102088801403136",1,2492.767578125,"01010201403","010102088801403",1,1,2,8,88,14,3,136,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01010300106004","010103010100106004",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,4,2,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,,,,
"01010300106016","010103010100106016",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,16,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010300106040","010103010100106040",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,40,2,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,,,,
"01010300106052","010103010100106052",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,52,2,0,0,0,0,0,0,0,0,4,3,1,,,,2,,,,,,,,,,,,,,,
"01010300106064","010103010100106064",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,64,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010300106076","010103010100106076",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,76,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010300106088","010103010100106088",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,88,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010300106100","010103010100106100",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,100,2,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,,,,
"01010300106112","010103010100106112",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,112,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010300106124","010103010100106124",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,124,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010300106136","010103010100106136",2,1352.4267578125,"01010300106","010103010100106",1,1,3,1,1,1,6,136,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010301804004","010103088801804004",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,4,2,0,0,0,0,0,0,0,0,3,,1,,,,1,,,,,,"X","X","X","X",,,,3,11,
"01010301804019","010103088801804019",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,19,2,0,0,0,0,0,0,0,0,4,5,1,,,,2,,,,,,,,,,,,,,,
"01010301804034","010103088801804034",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,34,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010301804049","010103088801804049",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,49,2,0,0,0,0,0,0,0,0,3,,1,,,,1,,,,,,"X","X","X",,,,,3,11,
"01010301804051","010103088801804051",1,778.776794433594,"01010301804","010103088801804",1,1,3,8,88,18,4,51,2,0,0,0,0,0,0,0,0,3,6,1,,,,2,,,,,,,,,,,,,,,
"01010301804069","010103088801804069",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,69,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010301804085","010103088801804085",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,85,2,0,0,0,0,0,0,0,0,3,6,1,,,,2,,,,,,,,,,,,,,,
"01010301804100","010103088801804100",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,100,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
"01010301804115","010103088801804115",1,3971.76220703125,"01010301804","010103088801804",1,1,3,8,88,18,4,115,2,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,,,,
