household_id,ea_id,saq14,pw_w5,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,s8q01,s8q02,s8q03,s8q04,s8q05,s8q06,s8q06a,s8q07,s8q07a,s8q08,s8q08a
020101010100104011,020101010100104,2. Urban,40.537723541259766,2. Afar,01,01,01,01,001,04,011,2,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104022,020101010100104,2. Urban,40.33983612060547,2. Afar,01,01,01,01,001,04,022,5,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104033,020101010100104,2. Urban,3993.643798828125,2. Afar,01,01,01,01,001,04,033,4,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104044,020101010100104,2. Urban,40.928653717041016,2. Afar,01,01,01,01,001,04,044,3,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104055,020101010100104,2. Urban,4175.61767578125,2. Afar,01,01,01,01,001,04,055,4,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104066,020101010100104,2. Urban,2112.083251953125,2. Afar,01,01,01,01,001,04,066,5,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104077,020101010100104,2. Urban,342.5464172363281,2. Afar,01,01,01,01,001,04,077,5,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104088,020101010100104,2. Urban,40.33983612060547,2. Afar,01,01,01,01,001,04,088,4,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104099,020101010100104,2. Urban,40.71596908569336,2. Afar,01,01,01,01,001,04,099,2,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104110,020101010100104,2. Urban,2535.89013671875,2. Afar,01,01,01,01,001,04,110,1,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,,2. NO,,2. NO,
020101010100104121,020101010100104,2. Urban,3993.643798828125,2. Afar,01,01,01,01,001,04,121,6,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104132,020101010100104,2. Urban,40.33983612060547,2. Afar,01,01,01,01,001,04,132,4,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101010100104143,020101010100104,2. Urban,40.71596908569336,2. Afar,01,01,01,01,001,04,143,1,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,2. Rarely (1 or 2 times),1. YES,2. Rarely (1 or 2 times),1. YES,2. Rarely (1 or 2 times)
020101010100104165,020101010100104,2. Urban,4408.689453125,2. Afar,01,01,01,01,001,04,165,3,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704003,020101088800704,1. Rural,68.544952392578125,2. Afar,01,01,08,88,007,04,003,2,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704007,020101088800704,1. Rural,1820.8941650390625,2. Afar,01,01,08,88,007,04,007,8,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704011,020101088800704,1. Rural,2163.425537109375,2. Afar,01,01,08,88,007,04,011,4,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704015,020101088800704,1. Rural,318.83819580078125,2. Afar,01,01,08,88,007,04,015,6,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704019,020101088800704,1. Rural,4499.26611328125,2. Afar,01,01,08,88,007,04,019,5,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704023,020101088800704,1. Rural,69.35108947753906,2. Afar,01,01,08,88,007,04,023,2,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704027,020101088800704,1. Rural,4551.251953125,2. Afar,01,01,08,88,007,04,027,4,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704031,020101088800704,1. Rural,70.437286376953125,2. Afar,01,01,08,88,007,04,031,4,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704035,020101088800704,1. Rural,2921.6220703125,2. Afar,01,01,08,88,007,04,035,7,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020101088800704039,020101088800704,1. Rural,3772.04150390625,2. Afar,01,01,08,88,007,04,039,9,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020102010100103015,020102010100103,2. Urban,502.5141296386719,2. Afar,01,02,01,01,001,03,015,4,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
020102010100103024,020102010100103,2. Urban,36.07170486450195,2. Afar,01,02,01,01,001,03,024,8,2. NO,2. NO,1. YES,1. YES,2. NO,2. NO,,2. NO,,2. NO,
020102010100103033,020102010100103,2. Urban,48.506317138671875,2. Afar,01,02,01,01,001,03,033,1,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,2. NO,
